Eurecam Entrée interne>>einter,Eurecam
fichier de comptage v2
1,entrée,passage
2,entrée-adulte,passage
3,entrée-enfant,passage
Date,Heure,E1,S1,E2,S2,E3,S3
22/02/2019,07:09:00,0,1,0,1,0,0
22/02/2019,07:11:00,1,0,1,0,0,0
22/02/2019,07:12:00,1,1,1,1,0,0
22/02/2019,07:13:00,0,1,0,1,0,0
22/02/2019,07:14:00,1,0,1,0,0,0
22/02/2019,07:15:00,0,1,0,1,0,0
22/02/2019,07:18:00,1,0,1,0,0,0
22/02/2019,07:36:00,2,2,2,2,0,0
22/02/2019,07:40:00,1,0,1,0,0,0
22/02/2019,07:43:00,0,1,0,1,0,0
22/02/2019,07:49:00,1,0,1,0,0,0
22/02/2019,07:51:00,0,1,0,1,0,0
22/02/2019,07:56:00,0,1,0,1,0,0
22/02/2019,08:09:00,2,1,1,1,1,0
22/02/2019,08:21:00,1,0,1,0,0,0
22/02/2019,08:22:00,0,1,0,0,0,1
22/02/2019,08:23:00,0,1,0,1,0,0
22/02/2019,08:25:00,1,0,1,0,0,0
22/02/2019,09:02:00,0,1,0,1,0,0
22/02/2019,09:03:00,1,0,1,0,0,0
22/02/2019,09:13:00,1,0,1,0,0,0
22/02/2019,09:15:00,0,1,0,1,0,0
22/02/2019,09:16:00,1,0,1,0,0,0
22/02/2019,09:52:00,1,0,1,0,0,0
22/02/2019,10:08:00,0,1,0,1,0,0
22/02/2019,10:10:00,2,2,2,2,0,0
22/02/2019,10:15:00,1,0,1,0,0,0
22/02/2019,10:17:00,0,1,0,1,0,0
22/02/2019,10:21:00,1,0,1,0,0,0
22/02/2019,10:29:00,0,1,0,1,0,0
22/02/2019,10:31:00,1,0,1,0,0,0
22/02/2019,10:32:00,0,1,0,1,0,0
22/02/2019,10:33:00,0,1,0,1,0,0
22/02/2019,10:34:00,4,3,4,3,0,0
22/02/2019,10:38:00,1,0,1,0,0,0
22/02/2019,10:47:00,1,0,1,0,0,0
22/02/2019,10:48:00,0,1,0,1,0,0
22/02/2019,10:51:00,1,0,1,0,0,0
22/02/2019,10:53:00,0,1,0,1,0,0
22/02/2019,10:55:00,1,1,1,1,0,0
22/02/2019,10:59:00,0,1,0,1,0,0
22/02/2019,11:05:00,1,0,1,0,0,0
22/02/2019,11:06:00,1,1,1,1,0,0
22/02/2019,11:09:00,1,1,1,1,0,0
22/02/2019,11:21:00,1,1,1,1,0,0
22/02/2019,11:32:00,0,1,0,1,0,0
22/02/2019,11:35:00,0,1,0,1,0,0
22/02/2019,11:36:00,2,1,2,1,0,0
22/02/2019,11:42:00,1,1,1,1,0,0
22/02/2019,11:43:00,1,0,1,0,0,0
22/02/2019,11:45:00,1,0,1,0,0,0
22/02/2019,11:55:00,0,1,0,1,0,0
22/02/2019,11:56:00,1,0,1,0,0,0
22/02/2019,11:58:00,0,1,0,1,0,0
22/02/2019,11:59:00,1,0,1,0,0,0
22/02/2019,12:09:00,0,1,0,1,0,0
22/02/2019,12:16:00,1,1,1,1,0,0
22/02/2019,12:20:00,0,1,0,1,0,0
22/02/2019,12:26:00,0,1,0,1,0,0
22/02/2019,12:31:00,1,1,1,1,0,0
22/02/2019,12:37:00,1,0,1,0,0,0
22/02/2019,12:38:00,0,1,0,1,0,0
22/02/2019,12:39:00,1,0,1,0,0,0
22/02/2019,12:40:00,0,1,0,1,0,0
22/02/2019,12:44:00,1,1,1,1,0,0
22/02/2019,12:58:00,1,1,1,1,0,0
22/02/2019,13:06:00,1,0,1,0,0,0
22/02/2019,13:18:00,1,1,1,1,0,0
22/02/2019,13:23:00,1,0,1,0,0,0
22/02/2019,13:24:00,0,1,0,1,0,0
22/02/2019,13:26:00,1,0,1,0,0,0
22/02/2019,13:28:00,1,0,1,0,0,0
22/02/2019,13:35:00,0,1,0,1,0,0
22/02/2019,13:49:00,0,1,0,1,0,0
22/02/2019,13:50:00,1,0,1,0,0,0
22/02/2019,14:00:00,0,1,0,1,0,0
22/02/2019,14:22:00,1,0,1,0,0,0
22/02/2019,14:23:00,0,1,0,1,0,0
22/02/2019,14:29:00,1,0,1,0,0,0
22/02/2019,14:31:00,1,0,1,0,0,0
22/02/2019,14:52:00,1,0,1,0,0,0
22/02/2019,14:55:00,0,1,0,1,0,0
22/02/2019,15:09:00,0,1,0,1,0,0
22/02/2019,15:11:00,0,1,0,1,0,0
22/02/2019,15:12:00,1,0,1,0,0,0
22/02/2019,15:19:01,0,1,0,1,0,0
22/02/2019,15:24:00,1,0,1,0,0,0
22/02/2019,15:32:00,0,1,0,1,0,0
22/02/2019,15:33:00,2,1,2,1,0,0
22/02/2019,15:34:00,1,0,1,0,0,0
22/02/2019,15:37:00,0,1,0,1,0,0
22/02/2019,15:51:00,1,0,1,0,0,0
22/02/2019,15:52:00,0,1,0,1,0,0
22/02/2019,15:53:00,0,1,0,1,0,0
22/02/2019,15:55:00,1,0,1,0,0,0
22/02/2019,15:56:00,0,1,0,1,0,0
22/02/2019,15:57:00,1,0,1,0,0,0
22/02/2019,15:58:00,0,1,0,1,0,0
22/02/2019,16:01:00,1,0,1,0,0,0
22/02/2019,16:14:00,0,1,0,1,0,0
22/02/2019,16:15:00,1,0,1,0,0,0
22/02/2019,16:17:00,0,1,0,1,0,0
22/02/2019,16:18:01,1,0,1,0,0,0
22/02/2019,16:24:00,0,1,0,1,0,0
22/02/2019,16:27:00,1,1,1,1,0,0
22/02/2019,16:36:00,1,1,1,1,0,0
22/02/2019,16:42:00,1,1,1,1,0,0
22/02/2019,16:43:00,1,0,1,0,0,0
22/02/2019,16:45:00,2,1,1,1,1,0
22/02/2019,16:50:00,0,1,0,1,0,0
22/02/2019,17:04:00,1,0,1,0,0,0
22/02/2019,17:05:00,0,1,0,1,0,0
22/02/2019,17:23:00,0,1,0,1,0,0
22/02/2019,17:25:00,1,0,1,0,0,0
22/02/2019,17:31:00,1,1,1,1,0,0
22/02/2019,17:32:00,1,0,1,0,0,0
22/02/2019,17:33:00,0,1,0,1,0,0
22/02/2019,17:35:00,1,1,1,1,0,0
22/02/2019,17:41:00,1,0,1,0,0,0
22/02/2019,18:04:00,0,1,0,1,0,0
22/02/2019,18:26:00,0,1,0,1,0,0
22/02/2019,18:27:00,1,0,1,0,0,0
22/02/2019,18:28:00,0,1,0,1,0,0
22/02/2019,18:31:00,1,0,1,0,0,0
22/02/2019,18:32:00,0,1,0,1,0,0
22/02/2019,18:36:00,1,0,1,0,0,0
22/02/2019,18:38:00,0,1,0,1,0,0
22/02/2019,18:39:00,1,1,1,1,0,0
22/02/2019,18:40:00,1,0,1,0,0,0
22/02/2019,18:41:00,1,0,1,0,0,0
22/02/2019,18:46:00,1,1,1,1,0,0
22/02/2019,18:47:00,1,1,1,1,0,0
22/02/2019,18:48:00,0,1,0,1,0,0
22/02/2019,18:49:00,1,0,1,0,0,0
22/02/2019,18:50:00,1,0,1,0,0,0
22/02/2019,18:57:00,0,1,0,1,0,0
22/02/2019,18:58:00,1,2,1,2,0,0
22/02/2019,18:59:00,1,0,1,0,0,0
22/02/2019,19:03:00,0,2,0,2,0,0
22/02/2019,19:05:00,1,0,1,0,0,0
22/02/2019,19:07:00,1,1,1,1,0,0
22/02/2019,19:13:00,0,1,0,1,0,0
